FL_HAA,FL_HFE,FL_KFE,FR_HAA,FR_HFE,FR_KFE,HL_HAA,HL_HFE,HL_KFE,HR_HAA,HR_HFE,HR_KFE
-0.004974968818912018,0.665242597417949,4.87341577930955,0.004899526495858453,0.6658407216845319,-1.4104661478743346,0.0007536665311151935,-0.6671568757893143,1.4101982689741863,-0.0005376952227305054,-0.6643497544771,-4.872388864454082
-0.004974692069689368,0.6652432170572551,4.873415493504947,0.004899011620075555,0.6658407226796781,-1.4104659708342115,0.000751801759727222,-0.6671568454992256,1.4102002434050718,-0.0005381496209135861,-0.6643499563018862,-4.872388443926255
-0.0049760102387654825,0.6652442733765431,4.8734197792987155,0.004900141049674289,0.6658393457841933,-1.4104647542061572,0.0007428774093485302,-0.667158348596808,1.4102084913149424,-0.0005369132456065628,-0.6643489225359005,-4.872391818265802
-0.00497626430852538,0.6652444469887984,4.8734183882706095,0.004899996287541342,0.6658380869266942,-1.4104641627816594,0.0007391318731695407,-0.6671551557399447,1.4102034461836581,-0.000536782076737019,-0.6643482395148217,-4.87239500654737
-0.004976212586734974,0.6652447295640567,4.8734215750616965,0.004897591682022195,0.6658366228859292,-1.410462854348447,0.0007423675557101106,-0.6671553160840631,1.4102030502929876,-0.000536572900869281,-0.6643475009748379,-4.872396341808837
-0.004975602166587656,0.6652420504963779,4.873420992823028,0.004899149320302776,0.665837638750892,-1.4104628860908743,0.000740848962533569,-0.6671545552123508,1.4102017817170855,-0.0005378026458453533,-0.6643472051354955,-4.872396234355703
-0.004975903602420395,0.6652424764344635,4.873420060024446,0.004897030706428218,0.6658377251314587,-1.4104628197132305,0.000739736612721309,-0.6671540443332171,1.4102012212588173,-0.0005382393761363957,-0.6643470327968943,-4.872396704765583
-0.0049743482707187425,0.6652427001675338,4.873423330159797,0.0048960207730157634,0.6658370235883044,-1.4104602514796252,0.0007402281201196459,-0.6671553670566439,1.410200789663345,-0.0005375384133188277,-0.6643463624423349,-4.872397286428054
-0.004977111006631674,0.6652423302928501,4.873430903106232,0.004896069330077246,0.6658351957706303,-1.4104581723429392,0.0007372099378688546,-0.6671515585561316,1.4101981275651196,-0.0005377754537638779,-0.6643456106555456,-4.872399950497367
-0.004972664274577099,0.6652400124205977,4.87342430901541,0.004895804211807686,0.6658335223255492,-1.4104561914744078,0.0007421622678238649,-0.6671498022607576,1.4101949322506826,-0.0005367934885986969,-0.6643444661198572,-4.8724029597145675
-0.00495659384794056,0.6652343298170065,4.873430600255936,0.004894535819794044,0.6658349407972413,-1.4104583144969816,0.0007446033447520151,-0.667148785471749,1.4101932620559596,-0.000538164399431551,-0.6643449261920162,-4.872401359585865
-0.0049658580516185324,0.6652353042659724,4.873429570525179,0.004895651812623747,0.665834384455172,-1.4104574555156217,0.0007437968148833463,-0.6671500302656579,1.4101949342683078,-0.0005382163112148675,-0.6643451885018807,-4.8724007332730315
-0.00497479843225257,0.6652382583131091,4.873429126438287,0.004901105043026099,0.665833837189906,-1.4104541886395747,0.0007470860765090848,-0.6671491027542995,1.4101907031483885,-0.0005367524057557915,-0.6643431075235515,-4.872403330501076
-0.004972297463735842,0.6652368192651181,4.873433485616786,0.004896688477876943,0.6658326063926365,-1.4104519870397478,0.000747858450635519,-0.6671487834777627,1.4101890959406669,-0.0005392826297230258,-0.6643438333456588,-4.87240150062712
-0.004970069476430972,0.6652376351676601,4.873432664153135,0.004900222583920311,0.6658307624977731,-1.4104504893312502,0.0007412414160112846,-0.6671484665042442,1.410194184794408,-0.0005394732568300142,-0.6643421682529089,-4.872406247506856
-0.004969875665656431,0.6652358000729697,4.873435239146665,0.004902079020762784,0.6658305806144744,-1.4104504544776688,0.0007382724771964888,-0.6671475712933832,1.4101904094481705,-0.0005404529128663071,-0.6643415413019573,-4.872408445548913
-0.004970198154887306,0.6652352953550276,4.873435281439256,0.004902481584167617,0.6658308373045356,-1.410450836694146,0.0007361205195675069,-0.6671465853285268,1.4101890791855762,-0.0005407090088098698,-0.6643418153906113,-4.872408000688907
-0.004966489083237491,0.6652335501877449,4.873435965980101,0.004895077168268536,0.6658296922305071,-1.4104487524063494,0.0007384857906940212,-0.6671434885550065,1.4101851279399105,-0.0005413037941019994,-0.6643412038930441,-4.8724109182255475
-0.004971545381989628,0.6652348520629481,4.873440753803189,0.0049009346766286654,0.6658282101417576,-1.410447499743933,0.0007405769625705716,-0.6671438092336146,1.4101854928156206,-0.0005396365039418427,-0.6643402168599666,-4.872412967212992
-0.00496887538148183,0.6652342469130783,4.873440925805392,0.004900614238708911,0.6658273336213982,-1.4104456429493508,0.0007428138139813356,-0.6671429734949843,1.410183672724724,-0.0005397602123693446,-0.6643394493786259,-4.8724139166052165
-0.004971047244687554,0.6652312598464096,4.8734429000607715,0.004897381642160248,0.665828456965496,-1.4104461826073331,0.0007394931960975626,-0.667139490441027,1.4101802913130728,-0.0005398219627767986,-0.6643387690534635,-4.872415594801865
-0.004970220496731237,0.6652329754067576,4.873447529104231,0.00489804559387963,0.6658281581509478,-1.4104454138514129,0.0007408331895204512,-0.6671414159002858,1.410170928793172,-0.0005393939961644278,-0.6643388323226223,-4.872415596230844
-0.0049503395912715575,0.6652283296943029,4.8734468173008345,0.004899591636744027,0.6658276128137368,-1.4104452186623337,0.0007324410698625883,-0.6671410869561116,1.4101808913088787,-0.0005404597472145056,-0.664338805508498,-4.8724146471703556
